Type,Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,RemoveOutliers,Affinity,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,RetainVm,Server,Clock,EngineFactory,Toolchain,InvocationCount,IterationTime,LaunchCount,RunStrategy,TargetCount,UnrollFactor,WarmupCount,Bytes,Mean,Error,StdDev,Scaled,ScaledSD,Throughput
CombineHashCodes,City64_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,4.101 ns,0.0277 ns,0.0259 ns,2.40,0.02,930 MiB/s
CombineHashCodes,City64WithSeeds_Combine,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,6.815 ns,0.0444 ns,0.0416 ns,4.00,0.04,560 MiB/s
HashByteArray,City32_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,18.738 ns,0.1371 ns,0.1283 ns,10.99,0.11,204 MiB/s
HashByteArray,City64_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,10.936 ns,0.0440 ns,0.0344 ns,6.41,0.05,349 MiB/s
HashByteArray,City64WithSeeds_Block,clr-legacy-x86-64,False,Default,Default,Default,Default,Default,Default,15,LegacyJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,14.708 ns,0.0536 ns,0.0387 ns,8.62,0.07,259 MiB/s
CombineHashCodes,Empty,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,1.297 ns,0.0124 ns,0.0116 ns,1.00,0.00,"2,941 MiB/s"
HashByteArray,SeaHash_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,15.674 ns,0.0825 ns,0.0772 ns,12.08,0.12,243 MiB/s
CombineHashCodes,MultiplyAdd_Reordered_Custom,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,1.301 ns,0.0172 ns,0.0161 ns,1.00,0.01,"2,932 MiB/s"
HashByteArray,Murmur3x8632_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,10.865 ns,0.0555 ns,0.0520 ns,8.38,0.08,351 MiB/s
HashByteArray,XxHash32_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,22.072 ns,0.1102 ns,0.1031 ns,17.02,0.17,173 MiB/s
CombineHashCodes,Murmur3A_Steps,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,3.111 ns,0.2978 ns,0.2640 ns,2.40,0.20,"1,226 MiB/s"
HashByteArray,XxHash64_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,22.254 ns,0.1358 ns,0.1270 ns,17.16,0.18,171 MiB/s
CombineHashCodes,HSip13_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,9.703 ns,0.0593 ns,0.0554 ns,7.48,0.08,393 MiB/s
CombineHashCodes,HSip24_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,15.009 ns,0.0700 ns,0.0654 ns,11.57,0.11,254 MiB/s
HashByteArray,HalfSip13_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,22.430 ns,0.1368 ns,0.1280 ns,17.29,0.18,170 MiB/s
CombineHashCodes,Sip13_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,9.145 ns,0.0694 ns,0.0649 ns,7.05,0.08,417 MiB/s
CombineHashCodes,Sip24_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,11.764 ns,0.0752 ns,0.0704 ns,9.07,0.09,324 MiB/s
CombineHashCodes,Marvin32_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,10.157 ns,0.0754 ns,0.0705 ns,7.83,0.09,376 MiB/s
HashByteArray,HalfSip24_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,29.199 ns,0.2201 ns,0.2059 ns,22.51,0.25,131 MiB/s
CombineHashCodes,XXHash32_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,2.472 ns,0.0200 ns,0.0156 ns,1.91,0.02,"1,543 MiB/s"
HashByteArray,Sip13_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,17.113 ns,0.1267 ns,0.1185 ns,13.19,0.14,223 MiB/s
CombineHashCodes,XXHash64_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,4.144 ns,0.0387 ns,0.0362 ns,3.19,0.04,921 MiB/s
CombineHashCodes,SeaHash_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,6.328 ns,0.0626 ns,0.0586 ns,4.88,0.06,603 MiB/s
HashByteArray,Sip24_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,20.162 ns,0.1426 ns,0.1333 ns,15.54,0.17,189 MiB/s
CombineHashCodes,SpookyV2_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,14.235 ns,0.0710 ns,0.0664 ns,10.97,0.11,268 MiB/s
HashByteArray,Marvin32_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,17.400 ns,0.0742 ns,0.0694 ns,13.41,0.13,219 MiB/s
CombineHashCodes,City32_CustomSeed_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,4.257 ns,0.0356 ns,0.0333 ns,3.28,0.04,896 MiB/s
HashByteArray,SpookyV2_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,32.712 ns,0.2072 ns,0.1938 ns,25.22,0.26,117 MiB/s
CombineHashCodes,City64_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,3.225 ns,0.0330 ns,0.0309 ns,2.49,0.03,"1,183 MiB/s"
CombineHashCodes,City64WithSeeds_Combine,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,5.909 ns,0.0525 ns,0.0491 ns,4.56,0.05,646 MiB/s
HashByteArray,City32_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,9.874 ns,0.0628 ns,0.0587 ns,7.61,0.08,386 MiB/s
HashByteArray,City64_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,7.610 ns,0.0559 ns,0.0523 ns,5.87,0.06,501 MiB/s
HashByteArray,City64WithSeeds_Block,clr-ryu-x86-64,False,Default,Default,Default,Default,Default,Default,15,RyuJit,X64,Clr,False,True,False,True,False,False,Default,Default,Default,1,Default,Default,Default,Default,16,Default,4,10.423 ns,0.0681 ns,0.0637 ns,8.04,0.08,366 MiB/s
